Customer ID,Product ID,Purchase Amount (USD),Size,Color,Season,Review Rating,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases
1,1001,53,L,Gray,Winter,3.1,Express,Yes,Yes,14,Venmo,Fortnightly
2,1002,64,L,Maroon,Winter,3.1,Express,Yes,Yes,2,Cash,Fortnightly
3,1003,73,S,Maroon,Spring,3.1,Free Shipping,Yes,Yes,23,Credit Card,Weekly
4,1004,90,M,Maroon,Spring,3.5,Next Day Air,Yes,Yes,49,PayPal,Weekly
5,1001,49,M,Turquoise,Spring,2.7,Free Shipping,Yes,Yes,31,PayPal,Annually
6,1005,20,M,White,Summer,2.9,Standard,Yes,Yes,14,Venmo,Weekly
7,1006,85,M,Gray,Fall,3.2,Free Shipping,Yes,Yes,49,Cash,Quarterly
8,1007,34,L,Charcoal,Winter,3.2,Free Shipping,Yes,Yes,19,Credit Card,Weekly
9,1008,97,L,Silver,Summer,2.6,Express,Yes,Yes,8,Venmo,Annually
10,1009,31,M,Pink,Spring,4.8,2-Day Shipping,Yes,Yes,4,Cash,Quarterly
11,1010,34,L,Purple,Fall,4.1,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly
12,1007,68,S,Olive,Winter,4.9,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly
13,1008,72,M,Gold,Winter,4.5,Express,Yes,Yes,37,Venmo,Fortnightly
14,1011,51,M,Violet,Spring,4.7,Express,Yes,Yes,31,PayPal,Weekly
15,1008,53,L,Teal,Winter,4.7,Free Shipping,Yes,Yes,34,Debit Card,Weekly
16,1012,81,M,Teal,Winter,2.8,Store Pickup,Yes,Yes,8,PayPal,Monthly
17,1013,36,S,Gray,Spring,4.1,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly
18,1011,38,XL,Lavender,Winter,4.7,2-Day Shipping,Yes,Yes,36,Venmo,Quarterly
19,1002,48,S,Black,Summer,4.6,Free Shipping,Yes,Yes,17,Cash,Weekly
20,1014,90,M,Green,Summer,3.3,Standard,Yes,Yes,46,Debit Card,Bi-Weekly
21,1014,51,M,Black,Winter,2.8,Express,Yes,Yes,50,Cash,Every 3 Months
22,1014,62,M,Charcoal,Winter,4.1,Store Pickup,Yes,Yes,22,Debit Card,Quarterly
23,1014,37,M,Peach,Summer,3.2,Store Pickup,Yes,Yes,32,Debit Card,Annually
24,1014,88,XL,White,Winter,4.4,Express,Yes,Yes,40,Credit Card,Weekly
25,1015,22,M,Green,Fall,2.9,Store Pickup,Yes,Yes,16,Debit Card,Weekly
26,1016,25,M,Silver,Summer,3.6,Express,Yes,Yes,14,PayPal,Annually
27,1017,20,M,Red,Spring,3.6,Next Day Air,Yes,Yes,13,Credit Card,Annually
28,1007,56,L,Cyan,Summer,5.0,Next Day Air,Yes,Yes,7,Bank Transfer,Every 3 Months
29,1009,94,M,Gray,Fall,4.4,Free Shipping,Yes,Yes,41,PayPal,Every 3 Months
30,1011,48,S,Black,Fall,4.1,Store Pickup,Yes,Yes,14,Credit Card,Weekly
31,1017,31,L,Black,Winter,4.7,Standard,Yes,Yes,16,Credit Card,Monthly
32,1011,79,L,Brown,Winter,4.7,Store Pickup,Yes,Yes,45,Venmo,Monthly
